CODIGO;DESCRIPCION;FAMILIA;CANTIDAD;DEMANDA_APLICABLE;S_MIN;COMPRA_MIN;LOTE;PEDIR
11384;BANDEJA CON CESPED CHICA HERMBRA;ACCESORIOS;0.0;0.0;0.0;1;1;0
11387;RUMIVITAL FELINOS 125 mg x 100;MEDICAMENTOS FARMACIA;0.0;0.0;0.0;1;1;0
11388;RUMIVITAL CANINOS FORTE 800 mg FRASCO;MEDICAMENTOS FARMACIA;2.0;0.0;0.0;1;1;0
11389;CONTAL 150 mg x Blister;MEDICAMENTOS FARMACIA;12.0;14.05;8.0;10;2;0
11390;MILLEX BEBEDERO/COMEDERO 3.5 L;ACCESORIOS;0.0;0.0;0.0;1;1;0
11391;RDB PORTA BOLSITA + REPUESTO;ACCESORIOS;0.0;0.0;0.0;1;1;0
11392;CANIS ENDOSPOT DE 5 A 10 Kg;MEDICAMENTOS FARMACIA;0.0;0.0;0.0;2;2;0
11395;HOLLIDAY RENAL GATO 2KG;BALANCEADOS;0.0;0.0;0.0;1;1;0
11396;TEA COLLAR GATO;MEDICAMENTOS FARMACIA;1.0;1.42;1.0;1;1;0
11402;PIEDRAS SANITARIAS RUBICAT SENSITIVE X 5 KG ROSA;ACCESORIOS;1.0;0.0;0.0;1;1;0
11403;PER-ROS BOTAS DE NEOPRENE M;ACCESORIOS;0.0;0.0;0.0;1;1;0
11404;PER-ROS BOTAS DE NEOPRENE XXL;ACCESORIOS;0.0;0.0;0.0;1;1;0
11410;ANIMAL PET COMEDERO BAMBOO REDONDO ELEVADO;ACCESORIOS;0.0;0.0;0.0;1;1;0
11411;ESCAMA FRIA 2 12;BALANCEADOS;0.0;0.0;0.0;1;1;0
11415;BEBEDERO ANTIDERRAME (S-M-L);ACCESORIOS;0.0;0.0;0.0;8;8;0
11417;SET MAMADERA NURSERY;ACCESORIOS;0.0;0.0;0.0;1;1;0
11418;PRETAL ISABELA XL;ACCESORIOS;0.0;0.0;0.0;1;1;0
11421;PER-ROS PRETAL MUJER MARAVILLA S;ACCESORIOS;0.0;0.0;0.0;1;1;0
11423;RDB MOCHILA TRANSPORTADORA MEDIANA;ACCESORIOS;0.0;0.0;0.0;1;1;0
11424;NACIONAL PELOTA GIGANTE;ACCESORIOS;0.0;0.0;0.0;1;1;0
11425;NACIONAL PELOTA FRANCIA;ACCESORIOS;0.0;0.0;0.0;1;1;0
11426;MODEL JUGUETA 4 NUDOS PESADOS;ACCESORIOS;0.0;0.0;0.0;1;1;0
11429;PER-ROS HUESO CON BOLSITA;ACCESORIOS;0.0;0.0;0.0;1;1;0
11430;CAJA TRANSPORTADORA SKUDO N·1 DOBLE PUERTA;ACCESORIOS;0.0;0.0;0.0;1;1;0
11431;PER-ROS PEINE TODO METAL;ACCESORIOS;0.0;0.0;0.0;1;1;0
11434;RASCADOR BACHICHAS 1;ACCESORIOS;0.0;0.0;0.0;1;1;0
11435;DEXAMETASONA 1 MG BLISTER;MEDICAMENTOS FARMACIA;9.0;0.0;0.0;10;10;0
11436;SHAMPOO OSSPRET TRADICIONAL x 1 L;MEDICAMENTOS FARMACIA;0.0;0.0;0.0;1;1;0
11440;DISPENSER DE COMIDA NILE 3 KG;ACCESORIOS;0.0;0.0;0.0;1;1;0
11441;M-PETS COMEDERO SLOW FEED;ACCESORIOS;0.0;0.0;0.0;1;1;0
11442;COMEDERO CAVITY SLOW FEED;ACCESORIOS;0.0;0.0;0.0;1;1;0
11443;ZOOTEC CUBOS DE ALFALFA 500 gr;ACCESORIOS;0.0;0.08;1.0;1;1;1
11445;RASCADOR EN FORMA DE OLA;ACCESORIOS;0.0;0.0;0.0;1;1;0
11447;SHAMPOO OSSPRET CLORHEXIDINA Y PROPIONATO;MEDICAMENTOS FARMACIA;0.0;0.0;0.0;1;1;0
11449;GOLOSINA MON AMI MEAT STICK CHICKEN 250G;ACCESORIOS;0.0;0.83;1.0;15;15;15
11450;ZEE DOG CORREA + PRETAL APACHE;ACCESORIOS;0.0;0.0;0.0;1;1;0
11452;COMEDERO MANDALORIAN;ACCESORIOS;0.0;0.0;0.0;1;1;0
11453;GOLOSINA PEDIGREE DENTASTIX RAZA PEQ X 7;ACCESORIOS;0.0;13.92;8.0;32;16;32
11454;CEPILLO PLASTICO DOBLE;ACCESORIOS;0.0;0.0;0.0;1;1;0
11455;COMEDOR REGU DIET;ACCESORIOS;0.0;0.0;0.0;1;1;0
11457;GOLOSINA DENTALIFE SMALL X 7 UNIDADES PURINA;ACCESORIOS;0.0;5.0;3.0;7;7;7
11458;PIEDRAS SANITARIAS AGLUTINANTES CANADA LITTER 6 KG;ACCESORIOS;0.0;0.0;0.0;1;1;0
11459;PIEDRAS SANITARIAS AGLUTINANTES GATTOS 4 KG;ACCESORIOS;0.0;0.0;0.0;1;1;0
